GEOID,place_name,prop_white,med_income_k
04013092720,"Phoenix, AZ",0.40299999999999997,55.78100000000001
04013093001,"Phoenix, AZ",0.245,27.188
04013093002,"Phoenix, AZ",0.306,26.607
04013093101,"Phoenix, AZ",0.27899999999999997,26.435
04013093104,"Phoenix, AZ",0.239,21.414
04013103205,"Phoenix, AZ",0.9,108.314
04013103206,"Phoenix, AZ",0.898,114.569
04013103207,"Phoenix, AZ",0.903,101.964
04013103208,"Phoenix, AZ",0.688,56.932
04013103209,"Phoenix, AZ",0.883,96.25
04013103210,"Phoenix, AZ",0.758,42.492
04013103211,"Phoenix, AZ",0.877,84.917
04013103212,"Phoenix, AZ",0.91,99.297
04013103214,"Phoenix, AZ",0.9229999999999999,101.307
04013103215,"Phoenix, AZ",0.9079999999999999,86.211
04013103216,"Phoenix, AZ",0.8420000000000001,70.992
04013103217,"Phoenix, AZ",0.7929999999999999,75.737
04013103219,"Phoenix, AZ",0.851,72.098
04013103220,"Phoenix, AZ",0.8059999999999999,88.75
04013103302,"Phoenix, AZ",0.5820000000000001,46.191
04013103303,"Phoenix, AZ",0.731,56.691
04013103304,"Phoenix, AZ",0.21,32.316
04013103305,"Phoenix, AZ",0.24600000000000002,27.031
04013103306,"Phoenix, AZ",0.306,27.889
04013103400,"Phoenix, AZ",0.691,52.995
04013103501,"Phoenix, AZ",0.544,61.875
04013103502,"Phoenix, AZ",0.8759999999999999,50.871
04013103604,"Phoenix, AZ",0.655,39.989
04013103605,"Phoenix, AZ",0.89,90.766
04013103606,"Phoenix, AZ",0.753,53.362
04013103607,"Phoenix, AZ",0.7609999999999999,83.009
04013103608,"Phoenix, AZ",0.6679999999999999,61.713
04013103609,"Phoenix, AZ",0.5710000000000001,31.532
04013103611,"Phoenix, AZ",0.905,85.113
04013103612,"Phoenix, AZ",0.73,46.277
04013103614,"Phoenix, AZ",0.787,58.897
04013103615,"Phoenix, AZ",0.34600000000000003,22.384
04013103701,"Phoenix, AZ",0.635,40.655
04013103702,"Phoenix, AZ",0.677,51.996
04013103900,"Phoenix, AZ",0.593,36.096
04013104000,"Phoenix, AZ",0.5720000000000001,40.233
04013104100,"Phoenix, AZ",0.629,40.625
04013104202,"Phoenix, AZ",0.836,52.246
04013104203,"Phoenix, AZ",0.688,55.973
04013104204,"Phoenix, AZ",0.665,61.659
04013104205,"Phoenix, AZ",0.56,37.629
04013104206,"Phoenix, AZ",0.494,50.063
04013104207,"Phoenix, AZ",0.7140000000000001,53.963
04013104212,"Phoenix, AZ",0.7040000000000001,57.65600000000001
04013104214,"Phoenix, AZ",0.753,73.221
04013104217,"Phoenix, AZ",0.7759999999999999,55.346
04013104218,"Phoenix, AZ",0.716,46.719
04013104219,"Phoenix, AZ",0.6809999999999999,61.25
04013104221,"Phoenix, AZ",0.623,59.972
04013104224,"Phoenix, AZ",0.794,47.813
04013104225,"Phoenix, AZ",0.8290000000000001,66.516
04013104226,"Phoenix, AZ",0.748,54.276
04013104301,"Phoenix, AZ",0.642,53.828
04013104302,"Phoenix, AZ",0.629,32.443000000000005
04013104401,"Phoenix, AZ",0.5489999999999999,32.369
04013104402,"Phoenix, AZ",0.33399999999999996,39.444
04013104501,"Phoenix, AZ",0.281,24.025
04013104502,"Phoenix, AZ",0.21,22.604
04013104600,"Phoenix, AZ",0.44,39.716
04013104701,"Phoenix, AZ",0.527,36.268
04013104702,"Phoenix, AZ",0.473,25.972
04013104801,"Phoenix, AZ",0.785,94.609
04013104802,"Phoenix, AZ",0.8640000000000001,61.563
04013104900,"Phoenix, AZ",0.8540000000000001,73.406
04013105003,"Phoenix, AZ",0.9229999999999999,145.221
04013105101,"Phoenix, AZ",0.925,106.141
04013105102,"Phoenix, AZ",0.833,73.194
04013105103,"Phoenix, AZ",0.887,177.778
04013105200,"Phoenix, AZ",0.526,44.797
04013105300,"Phoenix, AZ",0.7090000000000001,54.737
04013105400,"Phoenix, AZ",0.7509999999999999,80.64399999999998
04013105501,"Phoenix, AZ",0.243,28.571
04013105502,"Phoenix, AZ",0.308,27.156
04013105503,"Phoenix, AZ",0.332,19.194000000000006
04013105601,"Phoenix, AZ",0.275,38.281
04013105602,"Phoenix, AZ",0.495,38.506
04013105701,"Phoenix, AZ",0.593,53.57100000000001
04013105702,"Phoenix, AZ",0.435,33.472
04013105800,"Phoenix, AZ",0.39299999999999996,51.059
04013105900,"Phoenix, AZ",0.531,31.859
04013106001,"Phoenix, AZ",0.415,26.783
04013106002,"Phoenix, AZ",0.56,26.445
04013106003,"Phoenix, AZ",0.528,38.397
04013106100,"Phoenix, AZ",0.778,55.879
04013106200,"Phoenix, AZ",0.812,144.226
04013106300,"Phoenix, AZ",0.809,43.919
04013106400,"Phoenix, AZ",0.675,59.728
04013106501,"Phoenix, AZ",0.696,50.882
04013106502,"Phoenix, AZ",0.67,45.551
04013106600,"Phoenix, AZ",0.815,89.06299999999997
04013106701,"Phoenix, AZ",0.38,24.898000000000003
04013106702,"Phoenix, AZ",0.495,41.151
04013106703,"Phoenix, AZ",0.631,72.946
04013106801,"Phoenix, AZ",0.273,19.547
04013106802,"Phoenix, AZ",0.485,37.594
04013106900,"Phoenix, AZ",0.282,47.885
04013107000,"Phoenix, AZ",0.301,37.273
04013107101,"Phoenix, AZ",0.259,29.295
04013107102,"Phoenix, AZ",0.125,26.142
04013107201,"Phoenix, AZ",0.242,23.646
04013107202,"Phoenix, AZ",0.278,33.25
04013107300,"Phoenix, AZ",0.309,35.5
04013107400,"Phoenix, AZ",0.386,26.503
04013107500,"Phoenix, AZ",0.7929999999999999,61.89100000000001
04013107601,"Phoenix, AZ",0.7020000000000001,32.656
04013107602,"Phoenix, AZ",0.6859999999999999,51.392
04013107700,"Phoenix, AZ",0.688,43.287
04013107800,"Phoenix, AZ",0.9109999999999999,100.827
04013107900,"Phoenix, AZ",0.8640000000000001,79.531
04013108000,"Phoenix, AZ",0.91,151.364
04013108100,"Phoenix, AZ",0.833,70.714
04013108200,"Phoenix, AZ",0.782,58.75
04013108301,"Phoenix, AZ",0.8079999999999999,79.926
04013108302,"Phoenix, AZ",0.861,49.231
04013108400,"Phoenix, AZ",0.613,46.714
04013108501,"Phoenix, AZ",0.44299999999999995,51.567
04013108502,"Phoenix, AZ",0.608,47.327
04013108601,"Phoenix, AZ",0.254,24.118
04013108602,"Phoenix, AZ",0.39399999999999996,42.548
04013108802,"Phoenix, AZ",0.643,42.587
04013108901,"Phoenix, AZ",0.456,35.556
04013108902,"Phoenix, AZ",0.4270000000000001,31.672
04013109001,"Phoenix, AZ",0.131,21.48
04013109002,"Phoenix, AZ",0.126,24.478
04013109003,"Phoenix, AZ",0.09300000000000001,19.875
04013109101,"Phoenix, AZ",0.193,32.531
04013109102,"Phoenix, AZ",0.11199999999999999,34.228
04013109200,"Phoenix, AZ",0.214,17.721
04013109300,"Phoenix, AZ",0.135,27.22
04013109400,"Phoenix, AZ",0.171,14.871
04013109500,"Phoenix, AZ",0.23,45.029
04013109601,"Phoenix, AZ",0.17,34.5
04013109602,"Phoenix, AZ",0.14800000000000002,35.111
04013109603,"Phoenix, AZ",0.15,35.779
04013109604,"Phoenix, AZ",0.14,27.801
04013109701,"Phoenix, AZ",0.055,27.222
04013109702,"Phoenix, AZ",0.127,30.444000000000006
04013109703,"Phoenix, AZ",0.111,32.42
04013109704,"Phoenix, AZ",0.10400000000000001,34.832
04013109705,"Phoenix, AZ",0.126,40.172
04013109801,"Phoenix, AZ",0.092,31.884
04013109802,"Phoenix, AZ",0.16,43.19600000000001
04013109900,"Phoenix, AZ",0.08800000000000001,27.461
04013110001,"Phoenix, AZ",0.136,36.083
04013110002,"Phoenix, AZ",0.11,22.525
04013110100,"Phoenix, AZ",0.052000000000000005,22.222
04013110400,"Phoenix, AZ",0.569,42.904
04013110501,"Phoenix, AZ",0.64,42.058
04013110502,"Phoenix, AZ",0.41700000000000004,38.09
04013110600,"Phoenix, AZ",0.5,48.916
04013110701,"Phoenix, AZ",0.33899999999999997,35.0
04013110702,"Phoenix, AZ",0.4270000000000001,37.739
04013110801,"Phoenix, AZ",0.47100000000000003,36.25
04013110802,"Phoenix, AZ",0.5489999999999999,47.833
04013110901,"Phoenix, AZ",0.531,22.121
04013110902,"Phoenix, AZ",0.441,34.461
04013111000,"Phoenix, AZ",0.552,57.091
04013111100,"Phoenix, AZ",0.7959999999999999,68.638
04013111201,"Phoenix, AZ",0.349,35.417
04013111202,"Phoenix, AZ",0.336,33.571
04013111203,"Phoenix, AZ",0.32,31.875
04013111204,"Phoenix, AZ",0.5329999999999999,39.531
04013111300,"Phoenix, AZ",0.537,44.375
04013111401,"Phoenix, AZ",0.184,38.004
04013111402,"Phoenix, AZ",0.244,35.417
04013111501,"Phoenix, AZ",0.07200000000000001,30.801
04013111502,"Phoenix, AZ",0.24,33.027
04013111601,"Phoenix, AZ",0.21,26.7
04013111602,"Phoenix, AZ",0.109,26.92
04013111700,"Phoenix, AZ",0.516,36.101
04013111800,"Phoenix, AZ",0.748,80.071
04013111900,"Phoenix, AZ",0.711,82.45700000000002
04013112100,"Phoenix, AZ",0.061,22.221
04013112201,"Phoenix, AZ",0.06,23.681
04013112202,"Phoenix, AZ",0.149,29.536
04013112301,"Phoenix, AZ",0.045,28.788
04013112302,"Phoenix, AZ",0.062,25.375
04013112401,"Phoenix, AZ",0.028999999999999998,36.989
04013112402,"Phoenix, AZ",0.048,32.816
04013112502,"Phoenix, AZ",0.066,33.4
04013112503,"Phoenix, AZ",0.122,34.0
04013112504,"Phoenix, AZ",0.12300000000000001,28.018
04013112505,"Phoenix, AZ",0.07200000000000001,26.187
04013112507,"Phoenix, AZ",0.039,23.466
04013112508,"Phoenix, AZ",0.205,31.625
04013112509,"Phoenix, AZ",0.138,32.946
04013112510,"Phoenix, AZ",0.14,57.515
04013112511,"Phoenix, AZ",0.154,55.117
04013112512,"Phoenix, AZ",0.149,25.998
04013112513,"Phoenix, AZ",0.12,40.794
04013112514,"Phoenix, AZ",0.145,60.275
04013112601,"Phoenix, AZ",0.13,20.0
04013112602,"Phoenix, AZ",0.07200000000000001,21.232
04013112700,"Phoenix, AZ",0.027999999999999997,22.66
04013112900,"Phoenix, AZ",0.295,25.042
04013113000,"Phoenix, AZ",0.727,44.097
04013113100,"Phoenix, AZ",0.531,19.331
04013113201,"Phoenix, AZ",0.156,20.0
04013113202,"Phoenix, AZ",0.091,17.868
04013113203,"Phoenix, AZ",0.20600000000000002,23.85
04013113300,"Phoenix, AZ",0.187,13.478
04013113501,"Phoenix, AZ",0.156,30.133000000000006
04013113502,"Phoenix, AZ",0.046,26.463
04013113601,"Phoenix, AZ",0.198,40.766
04013113602,"Phoenix, AZ",0.081,24.375
04013113700,"Phoenix, AZ",0.268,33.119
04013113801,"Phoenix, AZ",0.384,31.429
04013113900,"Phoenix, AZ",0.075,10.417
04013114000,"Phoenix, AZ",0.307,22.058000000000003
04013114100,"Phoenix, AZ",0.462,36.667
04013114200,"Phoenix, AZ",0.187,15.833
04013114301,"Phoenix, AZ",0.4,27.344
04013114302,"Phoenix, AZ",0.053,15.41
04013114401,"Phoenix, AZ",0.092,23.207
04013114402,"Phoenix, AZ",0.07400000000000001,14.653
04013114500,"Phoenix, AZ",0.063,21.016
04013114600,"Phoenix, AZ",0.038,32.617
04013114703,"Phoenix, AZ",0.325,23.75
04013114800,"Phoenix, AZ",0.133,31.8
04013114900,"Phoenix, AZ",0.134,12.5
04013115200,"Phoenix, AZ",0.13,26.518
04013115300,"Phoenix, AZ",0.10300000000000001,19.387
04013115400,"Phoenix, AZ",0.065,35.469
04013115500,"Phoenix, AZ",0.109,27.656
04013115600,"Phoenix, AZ",0.1,39.425
04013115700,"Phoenix, AZ",0.049,32.263000000000005
04013115801,"Phoenix, AZ",0.095,28.923
04013115802,"Phoenix, AZ",0.067,23.364
04013115900,"Phoenix, AZ",0.09300000000000001,30.292
04013116000,"Phoenix, AZ",0.174,31.5
04013116100,"Phoenix, AZ",0.052000000000000005,24.799
04013116202,"Phoenix, AZ",0.203,43.661
04013116203,"Phoenix, AZ",0.314,46.176
04013116204,"Phoenix, AZ",0.27399999999999997,51.798
04013116205,"Phoenix, AZ",0.313,37.047
04013116300,"Phoenix, AZ",0.107,43.646
04013116400,"Phoenix, AZ",0.067,34.821
04013116500,"Phoenix, AZ",0.053,38.566
04013116602,"Phoenix, AZ",0.114,42.448
04013116603,"Phoenix, AZ",0.275,84.375
04013116604,"Phoenix, AZ",0.233,58.947
04013116605,"Phoenix, AZ",0.228,65.313
04013116606,"Phoenix, AZ",0.151,50.243
04013116607,"Phoenix, AZ",0.11900000000000001,53.167
04013116608,"Phoenix, AZ",0.33799999999999997,51.761
04013116609,"Phoenix, AZ",0.359,77.721
04013116610,"Phoenix, AZ",0.264,51.648
04013116611,"Phoenix, AZ",0.401,73.854
04013116612,"Phoenix, AZ",0.231,62.257
04013116613,"Phoenix, AZ",0.321,44.72
04013116702,"Phoenix, AZ",0.156,38.271
04013116703,"Phoenix, AZ",0.215,50.742
04013116704,"Phoenix, AZ",0.441,54.70399999999999
04013116707,"Phoenix, AZ",0.746,85.213
04013116708,"Phoenix, AZ",0.775,50.0
04013116709,"Phoenix, AZ",0.648,65.625
04013116710,"Phoenix, AZ",0.764,131.15
04013116711,"Phoenix, AZ",0.601,83.125
04013116712,"Phoenix, AZ",0.618,67.705
04013116713,"Phoenix, AZ",0.747,83.605
04013116714,"Phoenix, AZ",0.737,102.411
04013116715,"Phoenix, AZ",0.826,75.135
04013116717,"Phoenix, AZ",0.478,46.932
04013116718,"Phoenix, AZ",0.601,55.625
04013116719,"Phoenix, AZ",0.7140000000000001,82.646
04013116720,"Phoenix, AZ",0.574,81.97399999999998
04013116721,"Phoenix, AZ",0.8240000000000001,99.297
04013116725,"Phoenix, AZ",0.825,77.193
04013116727,"Phoenix, AZ",0.772,117.578
04013116728,"Phoenix, AZ",0.789,138.491
04013116729,"Phoenix, AZ",0.765,140.664
04013116730,"Phoenix, AZ",0.611,114.286
04013116731,"Phoenix, AZ",0.795,99.635
04013116732,"Phoenix, AZ",0.32,46.576
04013116733,"Phoenix, AZ",0.8,99.643
04013116800,"Phoenix, AZ",0.43799999999999994,33.771
04013116900,"Phoenix, AZ",0.055999999999999994,28.924
04013117000,"Phoenix, AZ",0.249,30.691
04013117100,"Phoenix, AZ",0.589,53.357
04013117200,"Phoenix, AZ",0.03,32.333
04013117300,"Phoenix, AZ",0.065,9.948
04013217300,"Phoenix, AZ",0.851,73.194
04013217400,"Phoenix, AZ",0.809,50.302
04013319703,"Phoenix, AZ",0.578,43.475
04013320100,"Phoenix, AZ",0.7020000000000001,51.397
04013610000,"Phoenix, AZ",0.753,77.296
04013610100,"Phoenix, AZ",0.7290000000000001,66.795
04013610600,"Phoenix, AZ",0.8859999999999999,76.667
04013610800,"Phoenix, AZ",0.642,102.788
04013611200,"Phoenix, AZ",0.7709999999999999,112.861
04013611300,"Phoenix, AZ",0.757,65.708
04013611400,"Phoenix, AZ",0.7879999999999999,103.875
04013611500,"Phoenix, AZ",0.7859999999999999,97.256
04013611600,"Phoenix, AZ",0.8009999999999999,114.174
04013611700,"Phoenix, AZ",0.856,102.5
04013611800,"Phoenix, AZ",0.895,73.615
04013611900,"Phoenix, AZ",0.8009999999999999,69.95
04013612000,"Phoenix, AZ",0.887,128.75
04013612200,"Phoenix, AZ",0.7709999999999999,73.49600000000002
04013612300,"Phoenix, AZ",0.645,81.556
04013612400,"Phoenix, AZ",0.848,80.694
04013612500,"Phoenix, AZ",0.8740000000000001,95.26
04013612600,"Phoenix, AZ",0.9209999999999999,71.685
04013612700,"Phoenix, AZ",0.904,103.692
04013612800,"Phoenix, AZ",0.84,104.875
04013612900,"Phoenix, AZ",0.93,94.306
04013613000,"Phoenix, AZ",0.877,105.486
04013613300,"Phoenix, AZ",0.8690000000000001,93.625
04013614200,"Phoenix, AZ",0.8390000000000001,99.879
04013614300,"Phoenix, AZ",0.7440000000000001,86.52799999999998
04013614400,"Phoenix, AZ",0.828,55.989
04013614500,"Phoenix, AZ",0.71,67.10300000000001
04013614600,"Phoenix, AZ",0.723,49.464
04013614700,"Phoenix, AZ",0.746,33.516
