GEOID,land_area,total_pop,median_age
04013104217,2576873,5286.0,37.6
04013104218,2565558,3580.0,36.9
04013104219,2558519,3318.0,38.4
04013104221,2569325,6053.0,35.4
04013104224,2548115,6059.0,37.2
04013104225,2476316,3795.0,37.6
04013104226,2558853,4307.0,37.9
04013104301,1486943,3806.0,33.7
04013104302,1000950,3097.0,39.8
04013104401,2549164,4484.0,35.5
04013104402,2556183,2917.0,29.2
04013104501,1227269,3081.0,35.3
04013104502,1341772,5280.0,24.2
04013104600,2618241,4503.0,30.4
04013104701,1067298,2473.0,35.3
04013104702,1443266,3949.0,36.9
04013104801,5873837,3359.0,51.2
04013104802,3335039,5577.0,45.5
04013104900,2584777,4309.0,42.9
04013105003,10554201,4786.0,50.8
04013105101,6037669,4126.0,50.3
04013105102,19155555,3993.0,51.7
04013105103,9830954,2882.0,55.4
04013105200,4048350,6815.0,35.8
04013105300,2628242,4965.0,45.1
04013105400,2568631,3493.0,45.4
04013105501,1288057,2608.0,27.7
04013105502,639841,1796.0,26.5
04013105503,630446,3074.0,28.6
04013105601,1283760,4356.0,30.9
04013105602,1290266,7079.0,26.3
04013105701,1288730,3100.0,36.7
04013105702,1290174,3698.0,36.4
04013105800,2585268,6874.0,34.3
04013105900,2602568,5568.0,40.2
04013106001,702933,1608.0,29.2
04013106002,942646,1896.0,38.1
04013106003,941132,2815.0,38.1
04013106100,2554734,4844.0,43.7
04013106200,2593993,3492.0,44.5
04013106300,2633107,4607.0,45.3
04013106400,2494791,3021.0,42.6
04013106501,1313676,3305.0,36.1
04013106502,1309432,3413.0,41.7
04013106600,2603134,3541.0,46.3
04013106701,633665,3610.0,31.5
04013106702,649356,1498.0,35.8
04013106703,1288405,2186.0,42.6
04013106801,702981,3596.0,27.7
04013106802,1879036,3526.0,38.3
04013106900,2604857,7709.0,30.8
04013107000,2573616,7276.0,30.7
04013107101,1242404,4620.0,30.3
04013107102,1341877,5240.0,27.3
04013107201,1298219,3722.0,22.7
04013107202,1292931,5304.0,30.3
04013107300,2575241,6668.0,32.7
04013107400,2585601,7417.0,30.5
04013107500,2609412,3519.0,47.6
04013107601,1310496,3354.0,38.8
04013107602,1304617,2874.0,32.2
04013107700,2618706,3177.0,40.5
04013107800,3533610,2596.0,55.9
04013107900,7822933,3787.0,47.8
04013108000,3781354,3530.0,41.7
04013108100,1452097,1849.0,40.8
04013108200,1557152,3425.0,37.1
04013108301,2291700,3719.0,40.5
04013108302,1333566,2847.0,42.5
04013108400,2597616,4799.0,37.3
04013108501,1295690,2583.0,34.4
04013108502,1293574,3800.0,38.6
04013108601,817427,2600.0,33.2
