GEOID,place_name,land_area,total_pop,median_age,prop_65_older,prop_hispanic,prop_white,prop_black,prop_asian,prop_male,prop_single_fam_detached,med_rooms_in_house,prop_built_before_1940,prop_renting,count_renter_occupied_units,rental_vacancy_rate,renter_household_size,mean_travel_time_work,prop_commute_drive_alone,prop_below_poverty,prop_college_grad_student,prop_nonrelatives_household,prop_same_residence_year_ago,prop_bachelors_or_higher,prop_english_only,prop_foreign_born,distance_to_center_km,pop_density_k_km,renter_occupied_units_km,prop_20_34,prop_burden,median_gross_rent_k,med_income_k,med_home_value_k,prop_white_change_2012_2015
01073002305,"Birmingham, AL",2145174,3050.0,33.8,0.056,0.03,0.726,0.238,0.004,0.472,0.75,5.9,0.363,0.293,433.0,0.0,2.09,18.2,0.8009999999999999,0.161,0.249,0.07400000000000001,0.815,0.634,0.975,0.026,5.99410063284525,1.4217960874036324,201.84842814615502,0.334,0.4970000000000001,0.889,65.893,187.1,0.055999999999999946
01073002306,"Birmingham, AL",4736344,3849.0,41.8,0.168,0.028,0.68,0.256,0.021,0.425,0.792,5.9,0.064,0.321,615.0,0.0,2.3,19.1,0.866,0.102,0.408,0.106,0.863,0.517,0.903,0.073,5.655750419827008,0.812652121551982,129.84698746543748,0.265,0.248,0.825,58.50899999999999,189.8,-0.025999999999999943
01073002400,"Birmingham, AL",8338981,3698.0,34.1,0.092,0.058,0.279,0.643,0.0,0.462,0.35100000000000003,4.3,0.193,0.74,1152.0,0.124,2.31,18.4,0.768,0.478,0.255,0.109,0.63,0.239,0.942,0.029,2.6516376367822923,0.4434594586556799,138.14637543843784,0.234,0.512,0.6579999999999999,25.703000000000003,126.0,0.021999999999999992
01073002700,"Birmingham, AL",4459953,3816.0,37.0,0.093,0.021,0.434,0.517,0.016,0.616,0.026,3.4,0.349,0.862,1434.0,0.093,1.42,14.2,0.653,0.353,0.4970000000000001,0.068,0.528,0.3,0.969,0.025,0.08196343869643906,0.8556143977302003,321.5280519772294,0.376,0.5529999999999999,0.821,21.689,221.7,0.12400000000000005
01073002900,"Birmingham, AL",2334504,2062.0,50.3,0.17800000000000002,0.0,0.013,0.976,0.0,0.518,0.424,4.4,0.328,0.823,890.0,0.0,1.88,21.9,0.672,0.491,0.039,0.041,0.883,0.052000000000000005,1.0,0.0,1.93693139953207,0.8832711359672119,381.2372992293009,0.181,0.5529999999999999,0.433,12.48,52.5,-0.026
01073003001,"Birmingham, AL",2438072,3208.0,34.6,0.16899999999999998,0.044,0.246,0.685,0.017,0.507,0.821,6.2,0.339,0.299,298.0,0.0,2.03,19.8,0.728,0.123,0.7659999999999999,0.006,0.755,0.207,0.953,0.039,4.470416473463088,1.315793791159572,122.22772748302758,0.224,0.687,0.593,34.796,77.0,0.105
01073003002,"Birmingham, AL",1778289,2699.0,33.5,0.163,0.049,0.011,0.937,0.0,0.431,0.529,5.1,0.315,0.5539999999999999,617.0,0.092,1.96,18.7,0.821,0.5770000000000001,0.07,0.021,0.907,0.159,0.971,0.014,3.2340234415102316,1.5177510517131916,346.9627265309519,0.201,0.728,0.426,16.197,71.2,-0.04
01073003100,"Birmingham, AL",2249497,3550.0,33.0,0.131,0.006,0.031,0.963,0.0,0.477,0.7090000000000001,5.6,0.221,0.556,689.0,0.14,3.17,19.8,0.885,0.415,0.183,0.019,0.8170000000000001,0.142,0.953,0.013,6.137190753693706,1.5781305776358003,306.2906952087511,0.208,0.706,0.863,23.965999999999998,80.1,0.0010000000000000009
01073003200,"Birmingham, AL",1158186,1122.0,33.0,0.108,0.0,0.085,0.915,0.0,0.439,0.457,4.8,0.134,0.727,303.0,0.071,2.64,23.0,0.6759999999999999,0.535,0.183,0.019,0.645,0.056,1.0,0.006,7.10694329307402,0.9687563137527134,261.61600986370064,0.201,0.907,0.645,17.034000000000002,47.5,0.10399999999999998
01073003300,"Birmingham, AL",1964243,970.0,44.2,0.151,0.0,0.001,0.999,0.0,0.521,0.711,4.8,0.267,0.45,209.0,0.177,2.04,17.4,0.611,0.436,0.231,0.058,0.816,0.056,1.0,0.0,7.550072490872825,0.4938289203525226,106.40231376667757,0.13699999999999998,0.775,0.737,19.355,54.4,-0.002
01073003400,"Birmingham, AL",2048616,2420.0,38.1,0.094,0.012,0.08199999999999999,0.906,0.0,0.508,0.727,5.2,0.204,0.601,594.0,0.16699999999999998,2.45,21.1,0.8390000000000001,0.473,0.108,0.038,0.7609999999999999,0.053,0.988,0.0,8.604720669412549,1.1812853165258888,289.9518504199909,0.2,0.745,0.7909999999999999,21.926,49.7,0.033
01073003500,"Birmingham, AL",7394823,2908.0,31.1,0.093,0.0,0.097,0.9,0.0,0.452,0.992,5.5,0.17600000000000002,0.565,642.0,0.05,2.95,23.6,0.86,0.35600000000000004,0.184,0.049,0.818,0.071,0.994,0.0,10.70034729875506,0.3932480872091191,86.81749380613978,0.21600000000000005,0.743,0.9209999999999999,28.009,63.7,-0.013999999999999986
01073003600,"Birmingham, AL",2316098,4136.0,43.1,0.16899999999999998,0.0,0.054000000000000006,0.946,0.0,0.424,0.878,5.7,0.147,0.315,549.0,0.121,2.15,23.7,0.8109999999999999,0.158,0.32,0.016,0.916,0.172,0.987,0.006999999999999999,8.973841780482276,1.7857620877873042,237.0366020781504,0.197,0.598,0.7290000000000001,40.317,77.5,-0.021999999999999992
01073003700,"Birmingham, AL",2419170,4627.0,43.4,0.116,0.03,0.033,0.916,0.0,0.459,0.7440000000000001,5.2,0.253,0.469,920.0,0.121,2.04,24.6,0.764,0.243,0.196,0.022,0.889,0.099,0.964,0.024,7.852562286848628,1.9126394589879998,380.2957212597709,0.158,0.647,0.6729999999999999,26.587,66.2,0.025
01073003802,"Birmingham, AL",3245070,5693.0,36.6,0.099,0.002,0.065,0.931,0.0,0.483,0.904,5.9,0.081,0.396,832.0,0.057,2.88,21.1,0.8320000000000001,0.263,0.354,0.034,0.768,0.097,0.988,0.0,8.621263215978379,1.75435352704256,256.38892227286306,0.25,0.708,0.9490000000000001,32.488,69.0,-0.012000000000000002
01073003803,"Birmingham, AL",2701339,3555.0,45.8,0.163,0.0,0.027000000000000003,0.973,0.0,0.391,0.831,5.6,0.142,0.35700000000000004,553.0,0.135,2.56,20.0,0.752,0.355,0.218,0.042,0.8540000000000001,0.08800000000000001,0.992,0.003,6.587426733551755,1.3160140211946745,204.7132921858382,0.208,0.8170000000000001,0.745,24.795,65.9,0.014
01073003900,"Birmingham, AL",2232730,1664.0,30.6,0.118,0.059,0.0,0.941,0.0,0.448,0.422,4.3,0.095,0.74,496.0,0.112,2.59,23.5,0.5539999999999999,0.47,0.11,0.039,0.7829999999999999,0.065,0.937,0.044,5.503900551607879,0.7452759626107948,222.1495657782177,0.201,0.6659999999999999,0.631,23.013,46.1,-0.006000000000000001
01073004000,"Birmingham, AL",2364677,3544.0,40.5,0.159,0.009000000000000001,0.01,0.977,0.004,0.438,0.406,4.2,0.237,0.705,1146.0,0.08,1.89,20.6,0.807,0.366,0.201,0.023,0.8640000000000001,0.066,0.986,0.01,4.614077745574299,1.49872477298168,484.6327849427216,0.18700000000000006,0.545,0.5579999999999999,16.602,60.4,0.0030000000000000005
01073004200,"Birmingham, AL",3056205,2345.0,44.8,0.16,0.003,0.02,0.974,0.0,0.478,0.652,4.8,0.219,0.604,643.0,0.073,1.87,20.4,0.787,0.301,0.275,0.069,0.823,0.149,0.984,0.002,2.4906813175935563,0.7672914611421683,210.39164584836425,0.184,0.718,0.541,19.432000000000002,72.8,-0.018000000000000002
